Year,Hydro,Wind,Solar,Bioenergy
1999,16720.0,58.0,43.5,1134.0
2000,16933.0,210.0,50.0,645.0
2001,16054.0,364.0,58.3,950.0
2002,16490.0,703.1,58.3,1583.6
2003,16331.1,705.0,68.1,1799.5
2004,15612.2,885.0,77.8,3830.0
2005,16029.2,1713.1,90.3,3911.0
2006,14517.0,2611.1,104.7,3953.0
2007,12056.9,3093.1,122.8,4596.0
2008,11869.4,3823.8,155.6,2795.2
2009,13548.7,5051.7,424.8,2777.4
2010,16806.7,6084.9,1530.5,2101.7
2011,14083.3,6969.8,2558.6,3043.7
2012,18269.6,7959.6,3826.2,3143.5
2013,18420.9,10251.9,4416.0,3499.4
2014,13445.0,11466.5,5531.3,3592.2
2015,15318.2,12199.5,6838.3,3789.9
2016,16284.9,12597.0,8071.7,3500.5
2017,16020.8,15174.4,9929.9,3517.7
2018,15967.3,17712.0,14848.5,3495.9
2019,15149.6,20395.9,21033.2,3351.6
2020,15199.7,24535.4,27717.0,3346.2
2021,17010.9,29107.8,34686.6,3190.3
2022,16666.1,31384.9,41441.8,3096.0
2023,14960.1,30992.0,48600.3,3301.9
